date,amount,category,description
1-07-2024,1500,Credit,Income from Internship
2-07-2024,200,Debit,Groceries
3-07-2024,500,Debit,Purchase of Stationaries
4-07-2024,1500,Debit,Stock Purchase
5-07-2024,1200,Credit,Income from Internship
6-07-2024,300,Debit,Groceries
7-07-2024,450,Debit,Purchase of Stationaries
8-07-2024,2000,Debit,Stock Purchase
9-07-2024,1000,Credit,Stock Return
10-07-2024,250,Debit,Groceries
11-07-2024,1800,Credit,Income from Internship
12-07-2024,350,Debit,Groceries
13-07-2024,700,Debit,Purchase of Stationaries
14-07-2024,2500,Debit,Stock Purchase
15-07-2024,500,Credit,Stock Return
16-07-2024,400,Debit,Groceries
17-07-2024,1300,Credit,Income from Internship
18-07-2024,600,Debit,Purchase of Stationaries
19-07-2024,2200,Debit,Stock Purchase
20-07-2024,1000,Credit,Stock Return
21-07-2024,300,Debit,Groceries
22-07-2024,1500,Credit,Income from Internship
23-07-2024,250,Debit,Groceries
24-07-2024,400,Debit,Purchase of Stationaries
25-07-2024,2700,Debit,Stock Purchase
26-07-2024,800,Credit,Stock Return
27-07-2024,350,Debit,Groceries
28-07-2024,1400,Credit,Income from Internship
29-07-2024,500,Debit,Purchase of Stationaries
30-07-2024,3000,Debit,Stock Purchase
31-07-2024,1200,Credit,Stock Return
